,Total rape,Clearances,Crime(Per 100k),Prosecutions(Per 100k),Pros/Perc,Total Pop,Partic Pop,Pop Coverage
2000-01-01,5739,2380,2.25,0.93,0.41,281421906,254741154,90.52
2000-02-01,5407,2368,2.13,0.93,0.44,281421906,254315123,90.37
2000-03-01,6176,2855,2.43,1.12,0.46,281421906,254039019,90.27
2000-04-01,5788,2460,2.28,0.97,0.43,281421906,253740964,90.16
2000-05-01,6554,2811,2.58,1.11,0.43,281421906,253586618,90.11
2000-06-01,7953,2759,3.13,1.09,0.35,281421906,253720224,90.16
2000-07-01,6821,2881,2.7,1.14,0.42,281421906,252526837,89.73
2000-08-01,6664,3046,2.64,1.21,0.46,281421906,251948320,89.53
2000-09-01,6199,2818,2.46,1.12,0.45,281421906,252012614,89.55
2000-10-01,5983,2595,2.38,1.03,0.43,281421906,251103241,89.23
2000-11-01,5300,2491,2.11,0.99,0.47,281421906,250695451,89.08
2000-12-01,12629,6604,5.05,2.64,0.52,281421906,250309101,88.94
2001-01-01,5712,2478,2.2,0.95,0.43,284796887,259641366,91.17
2001-02-01,5254,2155,2.03,0.83,0.41,284796887,259370715,91.07
2001-03-01,6308,2688,2.43,1.04,0.43,284796887,259250006,91.03
2001-04-01,6136,2547,2.37,0.98,0.42,284796887,258935694,90.92
2001-05-01,6516,2780,2.52,1.08,0.43,284796887,258454389,90.75
2001-06-01,7810,2839,3.02,1.1,0.36,284796887,258267665,90.68
2001-07-01,7184,3017,2.78,1.17,0.42,284796887,258067654,90.61
2001-08-01,6934,3070,2.69,1.19,0.44,284796887,257611227,90.45
2001-09-01,6410,2698,2.49,1.05,0.42,284796887,257580604,90.44
2001-10-01,6231,2720,2.43,1.06,0.44,284796887,256898230,90.2
2001-11-01,5592,2373,2.17,0.92,0.42,284796887,257333645,90.36
2001-12-01,12679,5796,4.95,2.26,0.46,284796887,256360679,90.02
2002-01-01,5915,2476,2.21,0.93,0.42,288368698,267197533,92.66
2002-02-01,5436,2254,2.04,0.84,0.41,288368698,266775775,92.51
2002-03-01,6161,2672,2.31,1.0,0.43,288368698,266560966,92.44
2002-04-01,6681,2798,2.51,1.05,0.42,288368698,266360847,92.37
2002-05-01,7016,2980,2.64,1.12,0.42,288368698,266043657,92.26
2002-06-01,8289,3237,3.12,1.22,0.39,288368698,265867503,92.2
2002-07-01,7319,3013,2.75,1.13,0.41,288368698,265892875,92.21
2002-08-01,7269,3013,2.73,1.13,0.41,288368698,265791299,92.17
2002-09-01,7534,2866,2.84,1.08,0.38,288368698,265487393,92.07
2002-10-01,6351,2832,2.4,1.07,0.45,288368698,265017748,91.9
2002-11-01,5610,2290,2.12,0.86,0.41,288368698,264770687,91.82
2002-12-01,13753,6442,5.2,2.43,0.47,288368698,264656793,91.78
2003-01-01,5940,2403,2.2,0.89,0.4,290809777,269658252,92.73
2003-02-01,5081,2235,1.89,0.83,0.44,290809777,268429754,92.3
2003-03-01,6683,2577,2.48,0.96,0.39,290809777,268968934,92.49
2003-04-01,6001,2545,2.24,0.95,0.42,290809777,267660991,92.04
2003-05-01,6729,2675,2.52,1.0,0.4,290809777,267239198,91.89
